Date,My Portfolio Price
2000-01,51.1533122923279
2000-02,54.24823912301914
2000-03,43.74992540766354
2000-04,36.893843149113
2000-05,35.03349777308565
2000-06,30.628684060661925
2000-07,26.227333496019515
2000-08,22.460498125872405
2000-09,26.922879073765465
2000-10,22.02889272889024
2000-11,17.71747473953335
2000-12,13.948839605878915
2001-01,12.513944385033437
2001-02,10.414408235712985
2001-03,10.293464695335711
2001-04,10.026794624272807
2001-05,12.419903647549143
2001-06,12.657221328100867
2001-07,14.325103029366737
2001-08,12.667200813047971
2001-09,13.09807028238506
2001-10,16.84062224329028
2001-11,15.5802907201867
2001-12,22.36615427320064
2002-01,16.391456337027773
2002-02,16.202313515614872
2002-03,17.529648572214967
2002-04,17.55718435305829
2002-05,22.102249635457646
2002-06,19.591619010531456
2002-07,19.318120409291918
2002-08,17.40690579636615
2002-09,19.715098743803136
2002-10,21.419382083982942
2002-11,21.73113822392324
2002-12,23.495202090783973
2003-01,21.160176531157568
2003-02,18.45997526896705
2003-03,19.681316387508843
2003-04,22.13777562490354
2003-05,26.799499963266825
2003-06,26.34279049354469
2003-07,27.382490995826892
2003-08,29.642894472418202
2003-09,34.60724706959667
2003-10,41.67893402012033
2003-11,38.62753480377308
2003-12,39.05773797908566
2004-01,36.938156122629536
2004-02,31.87866810737428
2004-03,28.78648644084268
2004-04,31.519488245103602
2004-05,28.310978386421183
2004-06,33.57017944625853
2004-07,30.97007169351033
2004-08,26.075972100084197
2004-09,27.491647151100782
2004-10,26.50047603616978
2004-11,26.515542038208217
2004-12,29.234132544659058
2005-01,27.927196390817127
2005-02,26.995718638159538
2005-03,30.109395004302247
2005-04,23.918344500332424
2005-05,25.21699085416439
2005-06,26.0624139975858
2005-07,28.40610187058966
2005-08,29.466011278429526
2005-09,29.118089824832282
2005-10,29.195439202714837
2005-11,32.8330599413872
2005-12,32.84259969977351
2006-01,29.174946673116523
2006-02,27.386581751273336
2006-03,29.72912438765957
2006-04,30.046369702773298
2006-05,28.74732290920563
2006-06,29.028800351435134
2006-07,27.57274021721952
2006-08,24.235891845787357
2006-09,29.118061369704616
2006-10,30.365811942446904
2006-11,31.89096100820246
2006-12,33.938104521633804
2007-01,34.73316728568088
2007-02,36.86813447992603
2007-03,33.82778697015377
2007-04,39.58620369341243
2007-05,47.589326339776
2007-06,47.762134084726895
2007-07,47.79901272572456
2007-08,44.203073715509596
2007-09,48.40959910127515
2007-10,56.2366592902075
2007-11,45.3221900731424
2007-12,51.313938477543466
2008-01,46.122265943106875
2008-02,42.953086901882216
2008-03,39.02768876332791
2008-04,43.185186595139434
2008-05,42.892481816342375
2008-06,43.11821652416478
2008-07,41.174502315155884
2008-08,45.51870236198286
2008-09,43.04546620719505
2008-10,34.40089740220154
2008-11,31.26808677835317
2008-12,37.072573558265965
2009-01,37.44247097561459
2009-02,40.00605470651979
2009-03,43.27567084484991
2009-04,42.11695251585273
2009-05,42.39882048331759
2009-06,44.63977318400144
2009-07,44.63020238849382
2009-08,41.479409626156034
2009-09,44.39322324185973
2009-10,58.553195816815986
2009-11,68.92353339609745
2009-12,78.31585868036326
2010-01,76.5163972400276
2010-02,68.64749302294317
2010-03,68.33658853276783
2010-04,73.02565427651352
2010-05,58.790092571894874
2010-06,57.74207503374823
2010-07,64.31728790967104
2010-08,64.59121715505621
2010-09,79.73930343992468
2010-10,89.10032773012038
2010-11,91.36858760610089
2010-12,89.09385414565543
2011-01,94.21789565658302
2011-02,89.51529915256774
2011-03,79.53502982971725
2011-04,98.06043237634614
2011-05,100.9390007471995
2011-06,85.53281778890282
2011-07,96.76378953863244
2011-08,92.03325593407617
2011-09,114.81783123537075
2011-10,123.7416480545707
2011-11,109.18957460179908
2011-12,100.95784516072251
2012-01,98.01608921746974
2012-02,108.36377418813584
2012-03,98.88842635082626
2012-04,98.24514287288491
2012-05,104.21633036578834
2012-06,91.52073436304282
2012-07,98.2068546233245
2012-08,100.21545407711672
2012-09,118.54948429113294
2012-10,112.06776165084804
2012-11,100.04474255151229
2012-12,110.07166229855761
2013-01,118.64893019771444
2013-02,120.37116285394312
2013-03,109.79878798763256
2013-04,117.18994950449188
2013-05,111.93423295974551
2013-06,111.31968271579338
2013-07,129.16953530382642
2013-08,115.39251840619053
2013-09,120.92538175838162
2013-10,145.69133813583386
2013-11,157.50576723836556
2013-12,163.64163167278977
2014-01,177.77345419305556
2014-02,169.26328632178047
2014-03,170.21717895850585
2014-04,181.741679067866
2014-05,149.04275202211613
2014-06,155.26972240850694
2014-07,171.18236679924593
2014-08,150.50149761666873
2014-09,148.3571797315259
2014-10,146.17447928880514
2014-11,157.5971067507505
2014-12,154.9171125394144
2015-01,154.24160033789087
2015-02,176.25832132044897
2015-03,166.00339542712817
2015-04,200.0192051308285
2015-05,193.56330819222626
2015-06,192.1535816407589
2015-07,250.58904740046603
2015-08,245.17271742512713
2015-09,241.8686995514596
2015-10,285.59036476994976
2015-11,345.4645140152914
2015-12,343.1854583745511
2016-01,326.6005767597787
2016-02,288.25358961394727
2016-03,280.71354162513194
2016-04,299.50211286537194
2016-05,367.6301443578073
2016-06,320.29222509306067
2016-07,352.10787217266653
2016-08,316.5398736435967
2016-09,369.72381429025296
2016-10,428.7724767954486
2016-11,412.4060683470061
2016-12,375.9737998784376
2017-01,400.7351879105778
2017-02,415.8957346659506
2017-03,360.8985203883659
2017-04,469.41081370825157
2017-05,481.87796660225996
2017-06,529.3482819407991
2017-07,519.233264879415
2017-08,474.5873342469976
2017-09,436.38321205420243
2017-10,532.0865539590246
2017-11,605.0808192492088
2017-12,567.761637671832
2018-01,757.9156737156892
2018-02,954.1624270772248
2018-03,1050.9019107587892
2018-04,1007.1403232628683
2018-05,903.1414759511258
2018-06,1016.7465374637981
2018-07,1201.8261249653738
2018-08,1269.932981879127
2018-09,1341.2514458345722
2018-10,1287.3611031852354
2018-11,1103.2395387910385
2018-12,1101.4342040082513
2019-01,1123.4100267433007
2019-02,994.7914945467516
2019-03,1114.1687191397673
2019-04,1199.2196425249992
2019-05,1227.3078177548496
2019-06,1093.9516566206632
2019-07,1201.5309069310294
2019-08,1082.0932307373546
2019-09,1001.7129368439981
2019-10,978.8877958670935
2019-11,924.2091279081599
2019-12,1044.5652143270356
2020-01,1133.2552342888907
2020-02,1288.6874864801755
2020-03,1146.3287617477938
2020-04,1513.068739379352
2020-05,1484.762566780645
2020-06,1533.6104177473144
2020-07,2357.2657417247306
2020-08,2368.271235372099
2020-09,2360.679611114967
2020-10,2495.131768031609
2020-11,2183.847737040101
2020-12,2138.054528616143
